event_id,session_id,seat_id,track_id,t_start,t_end,frame_start,frame_end,rule,points,score_after,confidence,severity,reason,clip_path,thumb_path
evt_0001,sess_20260822_185117,S04,4,4.12,5.0,19,40,candidate_talking,40.0,40.0,0.85,warning,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0002,sess_20260822_185117,S05,3,5.62,5.62,45,45,object_phone,100.0,100.0,0.21,critical,"Prohibited mobile phone detected at S05 (on desk, conf 0.21)",/api/clips/evt_0002,/api/thumbs/evt_0002
evt_0003,sess_20260822_185117,S05,3,3.0,9.0,-78,72,hidden_hands,15.0,106.8,0.75,critical,Both wrists not visible for 6.0s,/api/clips/evt_0003,/api/thumbs/evt_0003
evt_0004,sess_20260822_185117,S04,4,8.25,9.25,49,74,head_turn,10.0,39.6,0.85,warning,"Head turned left, 3.4 deviations from own baseline, held 1.0s",,
evt_0005,sess_20260822_185117,S04,4,9.0,9.88,58,79,candidate_talking,40.0,78.1,0.85,warning,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0006,sess_20260822_185117,S04,4,4.12,9.88,-64,79,repeated_action,25.0,103.1,0.9,critical,"3 separate events in 5s: candidate_talking, head_turn, candidate_talking",/api/clips/evt_0006,/api/thumbs/evt_0006
evt_0007,sess_20260822_185117,S02,1,9.25,10.25,57,82,head_turn,10.0,10.0,0.68,warning,"Head turned left, 2.7 deviations from own baseline, held 1.0s",,
evt_0008,sess_20260822_185117,S03,2,10.38,10.38,83,83,object_phone,100.0,100.0,0.25,critical,"Prohibited mobile phone detected at S03 (near right wrist, conf 0.25)",/api/clips/evt_0008,/api/thumbs/evt_0008
evt_0009,sess_20260822_185117,S02,1,10.75,10.75,86,86,object_chit,60.0,68.8,0.17,critical,"Prohibited paper/chit detected at S02 (on desk, conf 0.22)",/api/clips/evt_0009,/api/thumbs/evt_0009
evt_0010,sess_20260822_185117,S02,1,13.0,13.0,104,104,object_chit,60.0,123.3,0.18,critical,"Prohibited paper/chit detected at S02 (on desk, conf 0.23)",/api/clips/evt_0010,/api/thumbs/evt_0010
evt_0011,sess_20260822_185117,S02,1,13.0,13.0,104,104,object_chit,60.0,183.3,0.18,critical,"Prohibited paper/chit detected at S02 (on desk, conf 0.23)",/api/clips/evt_0011,/api/thumbs/evt_0011
evt_0012,sess_20260822_185117,S02,1,13.0,13.0,104,104,object_chit,60.0,243.3,0.17,critical,"Prohibited paper/chit detected at S02 (on desk, conf 0.21)",/api/clips/evt_0012,/api/thumbs/evt_0012
evt_0013,sess_20260822_185117,S03,2,13.0,13.0,104,104,object_chit,60.0,153.6,0.19,critical,"Prohibited paper/chit detected at S03 (on desk, conf 0.23)",/api/clips/evt_0013,/api/thumbs/evt_0013
evt_0014,sess_20260822_185117,S02,1,13.25,13.25,106,106,object_chit,60.0,302.7,0.2,critical,"Prohibited paper/chit detected at S02 (on desk, conf 0.25)",/api/clips/evt_0014,/api/thumbs/evt_0014
evt_0015,sess_20260822_185117,S02,1,13.25,13.25,106,106,object_chit,60.0,362.7,0.19,critical,"Prohibited paper/chit detected at S02 (on desk, conf 0.24)",/api/clips/evt_0015,/api/thumbs/evt_0015
evt_0016,sess_20260822_185117,S02,1,13.25,13.25,106,106,object_chit,60.0,422.7,0.19,critical,"Prohibited paper/chit detected at S02 (on desk, conf 0.23)",/api/clips/evt_0016,/api/thumbs/evt_0016
evt_0017,sess_20260822_185117,S03,2,13.25,13.25,106,106,object_chit,60.0,213.0,0.21,critical,"Prohibited paper/chit detected at S03 (on desk, conf 0.26)",/api/clips/evt_0017,/api/thumbs/evt_0017
evt_0018,sess_20260822_185117,S02,1,13.5,13.5,108,108,object_chit,60.0,482.1,0.21,critical,"Prohibited paper/chit detected at S02 (on desk, conf 0.27)",/api/clips/evt_0018,/api/thumbs/evt_0018
evt_0019,sess_20260822_185117,S02,1,13.5,13.5,108,108,object_chit,60.0,542.1,0.18,critical,"Prohibited paper/chit detected at S02 (on desk, conf 0.23)",/api/clips/evt_0019,/api/thumbs/evt_0019
evt_0020,sess_20260822_185117,S02,1,13.5,13.5,108,108,object_chit,60.0,602.1,0.18,critical,"Prohibited paper/chit detected at S02 (on desk, conf 0.23)",/api/clips/evt_0020,/api/thumbs/evt_0020
evt_0021,sess_20260822_185117,S03,2,13.5,13.5,108,108,object_chit,60.0,272.4,0.19,critical,"Prohibited paper/chit detected at S03 (on desk, conf 0.24)",/api/clips/evt_0021,/api/thumbs/evt_0021
evt_0022,sess_20260822_185117,S02,1,13.75,13.75,110,110,object_chit,60.0,661.5,0.2,critical,"Prohibited paper/chit detected at S02 (on desk, conf 0.26)",/api/clips/evt_0022,/api/thumbs/evt_0022
evt_0023,sess_20260822_185117,S02,1,13.75,13.75,110,110,object_chit,60.0,721.5,0.19,critical,"Prohibited paper/chit detected at S02 (on desk, conf 0.24)",/api/clips/evt_0023,/api/thumbs/evt_0023
evt_0024,sess_20260822_185117,S03,2,13.75,13.75,110,110,object_chit,60.0,331.8,0.19,critical,"Prohibited paper/chit detected at S03 (on desk, conf 0.24)",/api/clips/evt_0024,/api/thumbs/evt_0024
evt_0025,sess_20260822_185117,S04,4,13.88,14.75,97,118,candidate_talking,40.0,131.3,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),/api/clips/evt_0025,/api/thumbs/evt_0025
evt_0026,sess_20260822_185117,S03,2,14.88,14.88,119,119,object_chit,60.0,389.0,0.17,critical,"Prohibited paper/chit detected at S03 (on desk, conf 0.21)",/api/clips/evt_0026,/api/thumbs/evt_0026
evt_0027,sess_20260822_185117,S03,2,15.0,15.0,120,120,object_chit,60.0,448.7,0.17,critical,"Prohibited paper/chit detected at S03 (on desk, conf 0.22)",/api/clips/evt_0027,/api/thumbs/evt_0027
evt_0028,sess_20260822_185117,S03,2,15.25,15.25,122,122,object_chit,60.0,508.1,0.17,critical,"Prohibited paper/chit detected at S03 (on desk, conf 0.21)",/api/clips/evt_0028,/api/thumbs/evt_0028
evt_0029,sess_20260822_185117,S03,2,15.5,15.5,124,124,object_chit,60.0,567.5,0.18,critical,"Prohibited paper/chit detected at S03 (on desk, conf 0.22)",/api/clips/evt_0029,/api/thumbs/evt_0029
evt_0030,sess_20260822_185117,S03,2,15.75,15.75,126,126,object_chit,60.0,626.9,0.19,critical,"Prohibited paper/chit detected at S03 (on desk, conf 0.24)",/api/clips/evt_0030,/api/thumbs/evt_0030
