event_id,session_id,seat_id,track_id,t_start,t_end,frame_start,frame_end,rule,points,score_after,confidence,severity,reason,clip_path,thumb_path
evt_0001,sess_20260821_173212,S05,4,30.38,31.25,229,250,candidate_talking,40.0,40.0,0.85,warning,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0002,sess_20260821_173212,S05,4,35.25,36.12,268,289,candidate_talking,40.0,72.7,0.85,warning,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0003,sess_20260821_173212,S05,4,40.12,41.0,307,328,candidate_talking,40.0,105.4,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0004,sess_20260821_173212,S05,4,30.38,41.0,63,328,repeated_action,25.0,130.4,0.9,critical,"3 separate events in 10s: candidate_talking, candidate_talking, candidate_talking",,
evt_0005,sess_20260821_173212,S05,4,48.0,48.88,370,391,candidate_talking,40.0,158.6,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0006,sess_20260821_173212,S05,4,35.25,51.0,15,408,repeated_action,25.0,180.4,0.9,critical,"4 separate events in 15s: candidate_talking, candidate_talking, candidate_talking",,
evt_0007,sess_20260821_173212,S05,4,53.75,54.62,416,437,candidate_talking,40.0,214.9,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0008,sess_20260821_173212,S05,4,58.62,59.5,455,476,candidate_talking,40.0,247.6,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0009,sess_20260821_173212,S05,4,48.0,61.0,163,488,repeated_action,25.0,270.4,0.9,critical,"6 separate events in 13s: candidate_talking, candidate_talking, candidate_talking",,
evt_0010,sess_20260821_173212,S05,4,63.5,64.38,494,515,candidate_talking,40.0,305.3,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0011,sess_20260821_173212,S05,4,68.38,69.25,533,554,candidate_talking,40.0,338.0,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0012,sess_20260821_173212,S05,4,58.62,71.0,259,568,repeated_action,25.0,360.4,0.9,critical,"6 separate events in 12s: candidate_talking, candidate_talking, candidate_talking",,
evt_0013,sess_20260821_173212,S02,1,71.5,72.5,555,580,head_turn,10.0,10.0,0.95,warning,"Head turned left, 5.2 deviations from own baseline, held 1.0s",,
evt_0014,sess_20260821_173212,S05,4,73.25,74.12,572,593,candidate_talking,40.0,395.7,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0015,sess_20260821_173212,S05,4,78.12,79.0,611,632,candidate_talking,40.0,428.4,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0016,sess_20260821_173212,S05,4,68.38,81.0,333,648,repeated_action,25.0,450.4,0.9,critical,"6 separate events in 12s: candidate_talking, candidate_talking, candidate_talking",,
evt_0017,sess_20260821_173212,S04,5,83.0,83.88,650,671,candidate_talking,40.0,40.0,0.85,warning,Candidate turned towards S03 (talking / mutual gaze observed for 0.9s),,
evt_0018,sess_20260821_173212,S05,4,83.0,83.88,650,671,candidate_talking,40.0,486.1,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0019,sess_20260821_173212,S05,4,87.88,88.75,689,710,candidate_talking,40.0,518.8,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0020,sess_20260821_173212,S05,4,78.12,91.0,407,728,repeated_action,25.0,540.4,0.9,critical,"6 separate events in 12s: candidate_talking, candidate_talking, candidate_talking",,
evt_0021,sess_20260821_173212,S05,4,92.75,93.62,728,749,candidate_talking,40.0,576.4,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0022,sess_20260821_173212,S04,5,96.0,96.88,754,775,candidate_talking,40.0,60.5,0.85,warning,Candidate turned towards S03 (talking / mutual gaze observed for 0.9s),,
evt_0023,sess_20260821_173212,S05,4,97.62,98.5,767,788,candidate_talking,40.0,609.1,0.85,critical,Candidate turned towards S03 (talking / mutual gaze observed for 0.9s),,
evt_0024,sess_20260821_173212,S02,1,98.0,99.0,767,792,head_turn,10.0,10.0,0.83,warning,"Head turned left, 3.3 deviations from own baseline, held 1.0s",,
evt_0025,sess_20260821_173212,S05,4,87.88,101.0,480,808,repeated_action,25.0,630.4,0.9,critical,"6 separate events in 13s: candidate_talking, candidate_talking, candidate_talking",,
evt_0026,sess_20260821_173212,S04,5,100.25,101.12,788,809,neighbour_reach,30.0,84.1,0.7,warning,"Wrist entered S03's space, depth 33%, held 0.9s",,
evt_0027,sess_20260821_173212,S04,5,83.0,101.12,356,809,repeated_action,25.0,109.1,0.9,critical,"3 separate events in 18s: candidate_talking, candidate_talking, neighbour_reach",,
evt_0028,sess_20260821_173212,S04,5,100.88,101.75,793,814,candidate_talking,40.0,148.2,0.85,critical,Candidate turned towards S03 (talking / mutual gaze observed for 0.9s),,
evt_0029,sess_20260821_173212,S05,4,102.5,103.38,806,827,candidate_talking,40.0,666.8,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0030,sess_20260821_173212,S05,4,107.38,108.25,845,866,candidate_talking,40.0,699.5,0.85,critical,Candidate turned towards S03 (talking / mutual gaze observed for 0.9s),,
evt_0031,sess_20260821_173212,S05,4,97.62,111.0,554,888,repeated_action,25.0,720.4,0.9,critical,"6 separate events in 13s: candidate_talking, candidate_talking, candidate_talking",,
evt_0032,sess_20260821_173212,S04,5,96.0,111.12,511,889,repeated_action,25.0,159.1,0.9,critical,"4 separate events in 15s: candidate_talking, neighbour_reach, candidate_talking",,
evt_0033,sess_20260821_173212,S05,4,106.62,111.12,777,889,hand_phone_grip,50.0,770.2,0.88,critical,Handheld phone grip posture sustained at S05 (Right hand held for 4.5s),,
