event_id,session_id,seat_id,track_id,t_start,t_end,frame_start,frame_end,rule,points,score_after,confidence,severity,reason,clip_path,thumb_path
evt_0001,sess_20260822_190355,S04,4,4.12,5.0,19,40,candidate_talking,40.0,40.0,0.85,warning,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0002,sess_20260822_190355,S05,3,3.0,9.0,-78,72,hidden_hands,15.0,15.0,0.75,warning,Both wrists not visible for 6.0s,,
evt_0003,sess_20260822_190355,S04,4,8.25,9.25,49,74,head_turn,10.0,42.6,0.85,warning,"Head turned left, 3.4 deviations from own baseline, held 1.0s",,
evt_0004,sess_20260822_190355,S04,4,9.0,9.88,58,79,candidate_talking,40.0,81.5,0.85,warning,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0005,sess_20260822_190355,S04,4,4.12,9.88,-64,79,repeated_action,25.0,106.5,0.9,critical,"3 separate events in 5s: candidate_talking, head_turn, candidate_talking",/api/clips/evt_0005,/api/thumbs/evt_0005
evt_0006,sess_20260822_190355,S02,1,9.25,10.25,57,82,head_turn,10.0,10.0,0.68,warning,"Head turned left, 2.7 deviations from own baseline, held 1.0s",,
evt_0007,sess_20260822_190355,S02,1,13.12,13.12,105,105,object_chit,60.0,65.0,0.22,critical,"Prohibited paper/chit detected at S02 (on desk, conf 0.27)",/api/clips/evt_0007,/api/thumbs/evt_0007
evt_0008,sess_20260822_190355,S02,1,13.62,13.62,109,109,object_chit,60.0,124.1,0.22,critical,"Prohibited paper/chit detected at S02 (on desk, conf 0.27)",/api/clips/evt_0008,/api/thumbs/evt_0008
evt_0009,sess_20260822_190355,S04,4,13.88,14.75,97,118,candidate_talking,40.0,138.1,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),/api/clips/evt_0009,/api/thumbs/evt_0009
evt_0010,sess_20260822_190355,S02,1,15.25,16.25,105,130,head_turn,10.0,129.6,0.89,critical,"Head turned left, 3.5 deviations from own baseline, held 1.0s",/api/clips/evt_0010,/api/thumbs/evt_0010
evt_0011,sess_20260822_190355,S04,4,18.75,19.62,136,157,candidate_talking,40.0,169.6,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),/api/clips/evt_0011,/api/thumbs/evt_0011
evt_0012,sess_20260822_190355,S04,4,9.0,19.88,-112,159,repeated_action,25.0,194.2,0.9,critical,"5 separate events in 10s: candidate_talking, candidate_talking, candidate_talking",/api/clips/evt_0012,/api/thumbs/evt_0012
evt_0013,sess_20260822_190355,S04,4,23.62,24.5,175,196,candidate_talking,40.0,226.1,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),/api/clips/evt_0013,/api/thumbs/evt_0013
evt_0014,sess_20260822_190355,S04,4,24.75,25.75,181,206,head_turn,10.0,234.0,0.95,critical,"Head turned left, 11.0 deviations from own baseline, held 1.0s",/api/clips/evt_0014,/api/thumbs/evt_0014
evt_0015,sess_20260822_190355,S02,1,25.75,26.75,189,214,head_turn,10.0,121.4,0.95,critical,"Head turned left, 3.9 deviations from own baseline, held 1.0s",/api/clips/evt_0015,/api/thumbs/evt_0015
evt_0016,sess_20260822_190355,S02,1,9.25,26.75,-223,214,repeated_action,25.0,146.4,0.9,critical,"3 separate events in 17s: head_turn, head_turn, head_turn",/api/clips/evt_0016,/api/thumbs/evt_0016
evt_0017,sess_20260822_190355,S04,4,28.5,29.38,214,235,candidate_talking,40.0,267.7,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),/api/clips/evt_0017,/api/thumbs/evt_0017
evt_0018,sess_20260822_190355,S04,4,23.62,29.88,83,239,repeated_action,25.0,291.8,0.9,critical,"8 separate events in 6s: candidate_talking, head_turn, candidate_talking",/api/clips/evt_0018,/api/thumbs/evt_0018
evt_0019,sess_20260822_190355,S03,2,31.38,31.38,251,251,object_chit,60.0,60.0,0.23,critical,"Prohibited paper/chit detected at S03 (on desk, conf 0.29)",/api/clips/evt_0019,/api/thumbs/evt_0019
evt_0020,sess_20260822_190355,S03,2,33.25,33.25,266,266,object_chit,60.0,116.7,0.27,critical,"Prohibited paper/chit detected at S03 (on desk, conf 0.33)",/api/clips/evt_0020,/api/thumbs/evt_0020
evt_0021,sess_20260822_190355,S02,1,33.5,34.5,251,276,head_turn,10.0,142.9,0.7,critical,"Head turned left, 2.8 deviations from own baseline, held 1.0s",/api/clips/evt_0021,/api/thumbs/evt_0021
evt_0022,sess_20260822_190355,S04,4,35.0,35.88,266,287,candidate_talking,40.0,321.4,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),/api/clips/evt_0022,/api/thumbs/evt_0022
evt_0023,sess_20260822_190355,S02,1,15.25,36.75,-243,294,repeated_action,25.0,164.0,0.9,critical,"4 separate events in 21s: head_turn, head_turn, head_turn",/api/clips/evt_0023,/api/thumbs/evt_0023
evt_0024,sess_20260822_190355,S04,4,36.5,37.5,275,300,head_turn,10.0,328.6,0.95,critical,"Head turned left, 4.1 deviations from own baseline, held 1.0s",/api/clips/evt_0024,/api/thumbs/evt_0024
evt_0025,sess_20260822_190355,S04,4,28.5,39.88,35,319,repeated_action,25.0,349.4,0.9,critical,"8 separate events in 11s: candidate_talking, candidate_talking, head_turn",/api/clips/evt_0025,/api/thumbs/evt_0025
evt_0026,sess_20260822_190355,S03,2,40.0,40.0,320,320,object_phone,100.0,205.0,0.29,critical,"Prohibited mobile phone detected at S03 (on desk, conf 0.29)",/api/clips/evt_0026,/api/thumbs/evt_0026
evt_0027,sess_20260822_190355,S02,1,39.5,40.5,299,324,head_turn,10.0,167.5,0.94,critical,"Head turned left, 3.7 deviations from own baseline, held 1.0s",/api/clips/evt_0027,/api/thumbs/evt_0027
evt_0028,sess_20260822_190355,S04,4,40.0,40.88,306,327,candidate_talking,40.0,387.7,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),/api/clips/evt_0028,/api/thumbs/evt_0028
