event_id,session_id,seat_id,track_id,t_start,t_end,frame_start,frame_end,rule,points,score_after,confidence,severity,reason,clip_path,thumb_path
evt_0001,sess_20260822_145608,S01,1,13.57,14.65,151,177,head_turn,10.0,10.0,0.95,warning,"Head turned left, 6.0 deviations from own baseline, held 1.1s",,
evt_0002,sess_20260822_145608,S01,1,27.72,28.8,322,348,head_turn,10.0,10.0,0.71,warning,"Head turned left, 2.9 deviations from own baseline, held 1.1s",,
evt_0003,sess_20260822_145608,S01,1,37.66,38.73,442,468,head_turn,10.0,10.0,0.68,warning,"Head turned left, 2.7 deviations from own baseline, held 1.1s",,
evt_0004,sess_20260822_145608,S01,1,13.57,38.73,-160,468,repeated_action,25.0,35.0,0.9,warning,"3 separate events in 25s: head_turn, head_turn, head_turn",,
evt_0005,sess_20260822_145608,S01,1,83.17,83.17,1005,1005,object_chit,60.0,60.0,0.29,critical,"Prohibited paper/chit detected at S01 (on desk, conf 0.37)",,
evt_0006,sess_20260822_145608,S01,1,83.26,83.26,1006,1006,object_chit,60.0,119.9,0.33,critical,"Prohibited paper/chit detected at S01 (on desk, conf 0.41)",,
evt_0007,sess_20260822_145608,S01,1,87.31,87.31,1055,1055,object_chit,60.0,173.8,0.29,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.36)",,
evt_0008,sess_20260822_145608,S01,1,88.39,88.39,1068,1068,object_chit,60.0,232.2,0.3,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.37)",,
evt_0009,sess_20260822_145608,S01,1,88.55,88.55,1070,1070,object_chit,60.0,291.9,0.29,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.37)",,
evt_0010,sess_20260822_145608,S01,1,88.72,88.72,1072,1072,object_chit,60.0,351.7,0.29,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.37)",,
evt_0011,sess_20260822_145608,S01,1,89.79,89.79,1085,1085,object_chit,60.0,410.1,0.29,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.36)",,
evt_0012,sess_20260822_145608,S01,1,89.88,89.88,1086,1086,object_chit,60.0,469.9,0.29,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.36)",,
evt_0013,sess_20260822_145608,S01,1,90.04,90.04,1088,1088,object_chit,60.0,529.7,0.34,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.43)",,
evt_0014,sess_20260822_145608,S01,1,90.21,90.21,1090,1090,object_chit,60.0,589.4,0.3,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.37)",,
evt_0015,sess_20260822_145608,S01,1,90.87,90.87,1098,1098,object_chit,60.0,648.5,0.3,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.38)",,
evt_0016,sess_20260822_145608,S01,1,91.03,91.03,1100,1100,object_chit,60.0,708.2,0.29,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.37)",,
evt_0017,sess_20260822_145608,S01,1,91.2,91.2,1102,1102,object_chit,60.0,768.0,0.32,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.40)",,
evt_0018,sess_20260822_145608,S01,1,92.19,92.19,1114,1114,object_chit,60.0,826.5,0.28,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.35)",,
evt_0019,sess_20260822_145608,S01,1,92.36,92.36,1116,1116,object_chit,60.0,886.2,0.32,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.41)",,
evt_0020,sess_20260822_145608,S01,1,92.52,92.52,1118,1118,object_chit,60.0,946.0,0.37,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.47)",,
evt_0021,sess_20260822_145608,S01,1,92.69,92.69,1120,1120,object_chit,60.0,1005.7,0.4,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.50)",,
evt_0022,sess_20260822_145608,S01,1,92.86,92.86,1122,1122,object_chit,60.0,1065.5,0.43,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.54)",,
evt_0023,sess_20260822_145608,S01,1,93.02,93.02,1124,1124,object_chit,60.0,1125.2,0.4,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.50)",,
evt_0024,sess_20260822_145608,S01,1,93.19,93.19,1126,1126,object_chit,60.0,1185.0,0.36,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.44)",,
evt_0025,sess_20260822_145608,S01,1,93.35,93.35,1128,1128,object_chit,60.0,1244.7,0.34,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.43)",,
evt_0026,sess_20260822_145608,S01,1,93.52,93.52,1130,1130,object_chit,60.0,1304.5,0.36,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.45)",,
evt_0027,sess_20260822_145608,S01,1,95.17,95.17,1150,1150,object_chit,60.0,1362.0,0.29,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.36)",,
evt_0028,sess_20260822_145608,S01,1,95.34,95.34,1152,1152,object_chit,60.0,1421.8,0.3,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.37)",,
evt_0029,sess_20260822_145608,S01,1,95.5,95.5,1154,1154,object_chit,60.0,1481.5,0.3,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.37)",,
evt_0030,sess_20260822_145608,S01,1,95.67,95.67,1156,1156,object_chit,60.0,1541.3,0.31,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.39)",,
evt_0031,sess_20260822_145608,S01,1,95.83,95.83,1158,1158,object_chit,60.0,1601.0,0.3,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.37)",,
evt_0032,sess_20260822_145608,S01,1,96.0,96.0,1160,1160,object_chit,60.0,1660.8,0.34,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.42)",,
evt_0033,sess_20260822_145608,S01,1,96.17,96.17,1162,1162,object_chit,60.0,1720.5,0.37,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.46)",,
evt_0034,sess_20260822_145608,S01,1,96.33,96.33,1164,1164,object_chit,60.0,1780.3,0.34,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.43)",,
evt_0035,sess_20260822_145608,S01,1,96.5,96.5,1166,1166,object_chit,60.0,1840.0,0.34,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.43)",,
evt_0036,sess_20260822_145608,S01,1,96.66,96.66,1168,1168,object_chit,60.0,1899.8,0.35,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.43)",,
evt_0037,sess_20260822_145608,S01,1,96.83,96.83,1170,1170,object_chit,60.0,1959.5,0.33,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.41)",,
evt_0038,sess_20260822_145608,S01,1,101.63,101.63,1228,1228,object_chit,60.0,2012.3,0.33,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.41)",,
evt_0039,sess_20260822_145608,S01,1,101.79,101.79,1230,1230,object_chit,60.0,2072.1,0.36,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.45)",,
evt_0040,sess_20260822_145608,S01,1,101.96,101.96,1232,1232,object_chit,60.0,2131.8,0.38,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.48)",,
evt_0041,sess_20260822_145608,S01,1,102.12,102.12,1234,1234,object_chit,60.0,2191.6,0.41,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.51)",,
evt_0042,sess_20260822_145608,S01,1,102.29,102.29,1236,1236,object_chit,60.0,2251.3,0.42,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.53)",,
evt_0043,sess_20260822_145608,S01,1,102.46,102.46,1238,1238,object_chit,60.0,2311.1,0.36,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.45)",,
evt_0044,sess_20260822_145608,S01,1,102.62,102.62,1240,1240,object_chit,60.0,2370.8,0.43,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.53)",,
evt_0045,sess_20260822_145608,S01,1,102.79,102.79,1242,1242,object_chit,60.0,2430.6,0.45,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.56)",,
evt_0046,sess_20260822_145608,S01,1,102.95,102.95,1244,1244,object_chit,60.0,2490.3,0.46,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.58)",,
evt_0047,sess_20260822_145608,S01,1,103.12,103.12,1246,1246,object_chit,60.0,2550.1,0.47,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.59)",,
evt_0048,sess_20260822_145608,S01,1,103.28,103.28,1248,1248,object_chit,60.0,2609.8,0.48,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.59)",,
evt_0049,sess_20260822_145608,S01,1,103.45,103.45,1250,1250,object_chit,60.0,2669.6,0.46,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.58)",,
evt_0050,sess_20260822_145608,S01,1,103.61,103.61,1252,1252,object_chit,60.0,2729.3,0.45,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.56)",,
evt_0051,sess_20260822_145608,S01,1,103.78,103.78,1254,1254,object_chit,60.0,2789.1,0.42,critical,"Prohibited paper/chit detected at S01 (near right wrist, conf 0.53)",,
