event_id,session_id,seat_id,track_id,t_start,t_end,frame_start,frame_end,rule,points,score_after,confidence,severity,reason,clip_path,thumb_path
evt_0001,sess_20260822_183222,S01,1,13.57,14.65,151,177,head_turn,10.0,10.0,0.95,warning,"Head turned left, 6.0 deviations from own baseline, held 1.1s",,
evt_0002,sess_20260822_183222,S01,1,28.06,28.06,339,339,object_phone,100.0,100.0,0.27,critical,"Prohibited mobile phone detected at S01 (near left wrist, conf 0.27)",/api/clips/evt_0002,/api/thumbs/evt_0002
evt_0003,sess_20260822_183222,S01,1,27.72,28.8,322,348,head_turn,10.0,109.0,0.77,critical,"Head turned left, 3.1 deviations from own baseline, held 1.1s",/api/clips/evt_0003,/api/thumbs/evt_0003
