event_id,session_id,seat_id,track_id,t_start,t_end,frame_start,frame_end,rule,points,score_after,confidence,severity,reason,clip_path,thumb_path
evt_0001,sess_20260821_172032,S05,4,5.5,5.5,44,44,hand_phone_grip,80.0,80.0,0.88,warning,"Handheld phone grip gesture detected at S05 (Left hand, flexed fingers + elevated thumb)",,
evt_0002,sess_20260821_172032,S05,4,5.75,5.75,46,46,hand_phone_grip,80.0,159.6,0.88,critical,"Handheld phone grip gesture detected at S05 (Left hand, flexed fingers + elevated thumb)",,
evt_0003,sess_20260821_172032,S05,4,5.88,5.88,47,47,hand_phone_grip,80.0,239.4,0.88,critical,"Handheld phone grip gesture detected at S05 (Left hand, flexed fingers + elevated thumb)",,
evt_0004,sess_20260821_172032,S05,4,6.0,6.0,48,48,hand_phone_grip,80.0,319.2,0.88,critical,"Handheld phone grip gesture detected at S05 (Left hand, flexed fingers + elevated thumb)",,
evt_0005,sess_20260821_172032,S05,4,17.75,17.75,142,142,hand_phone_grip,80.0,381.6,0.88,critical,"Handheld phone grip gesture detected at S05 (Left hand, flexed fingers + elevated thumb)",,
evt_0006,sess_20260821_172032,S04,5,18.12,18.12,145,145,hand_phone_grip,80.0,80.0,0.88,warning,"Handheld phone grip gesture detected at S04 (Right hand, flexed fingers + elevated thumb)",,
evt_0007,sess_20260821_172032,S05,4,19.75,19.75,158,158,hand_phone_grip,80.0,458.6,0.88,critical,"Handheld phone grip gesture detected at S05 (Left hand, flexed fingers + elevated thumb)",,
evt_0008,sess_20260821_172032,S05,4,22.88,22.88,183,183,hand_phone_grip,80.0,533.9,0.88,critical,"Handheld phone grip gesture detected at S05 (Right hand, flexed fingers + elevated thumb)",,
evt_0009,sess_20260821_172032,S05,4,23.38,23.38,187,187,hand_phone_grip,80.0,613.2,0.88,critical,"Handheld phone grip gesture detected at S05 (Left hand, flexed fingers + elevated thumb)",,
evt_0010,sess_20260821_172032,S05,4,23.88,23.88,191,191,hand_phone_grip,80.0,692.4,0.88,critical,"Handheld phone grip gesture detected at S05 (Left hand, flexed fingers + elevated thumb)",,
evt_0011,sess_20260821_172032,S05,4,24.25,24.25,194,194,hand_phone_grip,80.0,771.9,0.88,critical,"Handheld phone grip gesture detected at S05 (Left hand, flexed fingers + elevated thumb)",,
evt_0012,sess_20260821_172032,S06,3,24.75,24.75,198,198,hand_phone_grip,80.0,80.0,0.88,warning,"Handheld phone grip gesture detected at S06 (Right hand, flexed fingers + elevated thumb)",,
evt_0013,sess_20260821_172032,S06,3,25.88,25.88,207,207,hand_phone_grip,80.0,158.3,0.88,critical,"Handheld phone grip gesture detected at S06 (Left hand, flexed fingers + elevated thumb)",,
