event_id,session_id,seat_id,track_id,t_start,t_end,frame_start,frame_end,rule,points,score_after,confidence,severity,reason,clip_path,thumb_path
evt_0001,sess_20260823_075720,S04,4,4.13,5.0,19,40,candidate_talking,40.0,40.0,0.85,warning,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0002,sess_20260823_075720,S03,5,8.5,8.5,68,68,motion_spurt,20.0,20.0,0.75,warning,"Abnormal rapid motion detected at S03 (Energy: 30.5%, Velocity: 0.0px/s)",,
evt_0003,sess_20260823_075720,S04,4,8.75,8.75,70,70,object_unregistered,40.0,74.4,0.3,warning,"Unregistered object (bottle) appeared at S04 at 00:08, not present during calibration",,
evt_0004,sess_20260823_075720,S05,3,3.0,9.0,-78,72,hidden_hands,15.0,15.0,0.75,warning,Both wrists not visible for 6.0s,,
evt_0005,sess_20260823_075720,S04,4,9.0,9.88,58,79,candidate_talking,40.0,112.7,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),/api/clips/evt_0005,/api/thumbs/evt_0005
evt_0006,sess_20260823_075720,S04,4,10.0,10.0,80,80,object_unregistered,40.0,152.5,0.34,critical,"Unregistered object (bottle) appeared at S04 at 00:10, not present during calibration",/api/clips/evt_0006,/api/thumbs/evt_0006
evt_0007,sess_20260823_075720,S02,1,9.25,10.25,57,82,head_turn,10.0,10.0,0.64,warning,"Head turned left, 2.6 deviations from own baseline, held 1.0s",,
evt_0008,sess_20260823_075720,S04,4,10.25,10.25,82,82,object_unregistered,40.0,192.1,0.35,warning,"Unregistered object (bottle) appeared at S04 at 00:10, not present during calibration",,
evt_0009,sess_20260823_075720,S04,4,10.5,10.5,84,84,object_unregistered,40.0,231.7,0.34,warning,"Unregistered object (bottle) appeared at S04 at 00:10, not present during calibration",,
evt_0010,sess_20260823_075720,S03,5,10.75,10.75,86,86,object_unregistered,40.0,56.6,0.65,warning,"Unregistered object (mouse) appeared at S03 at 00:10, not present during calibration",,
evt_0011,sess_20260823_075720,S04,4,10.75,10.75,86,86,object_unregistered,40.0,271.4,0.33,warning,"Unregistered object (bottle) appeared at S04 at 00:10, not present during calibration",,
evt_0012,sess_20260823_075720,S03,5,11.0,11.0,88,88,object_unregistered,40.0,96.2,0.66,warning,"Unregistered object (mouse) appeared at S03 at 00:11, not present during calibration",,
evt_0013,sess_20260823_075720,S03,5,11.25,11.25,90,90,object_unregistered,40.0,135.9,0.65,critical,"Unregistered object (mouse) appeared at S03 at 00:11, not present during calibration",/api/clips/evt_0013,/api/thumbs/evt_0013
evt_0014,sess_20260823_075720,S03,5,11.5,11.5,92,92,object_unregistered,40.0,175.5,0.65,warning,"Unregistered object (mouse) appeared at S03 at 00:11, not present during calibration",,
