event_id,session_id,seat_id,track_id,t_start,t_end,frame_start,frame_end,rule,points,score_after,confidence,severity,reason,clip_path,thumb_path
evt_0001,sess_20260820_182850,S02,1,6.04,6.04,151,151,object_phone,100.0,100.0,0.12,critical,"Prohibited mobile phone detected at S02 (near left wrist, conf 0.12)",,
evt_0002,sess_20260820_182850,S02,1,8.52,8.52,213,213,object_phone,100.0,196.3,0.13,critical,"Prohibited mobile phone detected at S02 (near left wrist, conf 0.13)",,
evt_0003,sess_20260820_182850,S02,1,8.8,8.8,220,220,object_phone,100.0,295.9,0.22,critical,"Prohibited mobile phone detected at S02 (near left wrist, conf 0.22)",,
evt_0004,sess_20260820_182850,S01,2,44.68,45.68,1117,1142,head_turn,10.0,10.0,0.95,warning,"Head turned left, 5.5 deviations from own baseline, held 1.0s",,
evt_0005,sess_20260820_182850,S01,2,46.48,46.48,1162,1162,hand_chit_pinch,50.0,58.8,0.8,warning,Paper chit pinch gesture detected at S01 (Left index-thumb pinch),,
evt_0006,sess_20260820_182850,S01,2,46.52,46.52,1163,1163,hand_chit_pinch,50.0,108.7,0.8,critical,Paper chit pinch gesture detected at S01 (Left index-thumb pinch),,
evt_0007,sess_20260820_182850,S01,2,46.64,46.64,1166,1166,hand_chit_pinch,50.0,158.6,0.8,critical,Paper chit pinch gesture detected at S01 (Left index-thumb pinch),,
evt_0008,sess_20260820_182850,S02,1,54.8,54.8,1370,1370,object_phone,100.0,326.9,0.13,critical,"Prohibited mobile phone detected at S02 (near left wrist, conf 0.13)",,
evt_0009,sess_20260820_182850,S01,2,54.72,55.72,1368,1393,head_turn,10.0,154.9,0.95,critical,"Head turned left, 32.8 deviations from own baseline, held 1.0s",,
evt_0010,sess_20260820_182850,S01,2,54.72,55.72,1368,1393,turning_back,50.0,204.9,0.85,critical,"Torso rotated away from desk, shoulder span 27% of own baseline, held 1.0s",,
evt_0011,sess_20260820_182850,S01,2,44.68,55.72,1117,1393,repeated_action,25.0,229.9,0.9,critical,"3 separate events in 11s: head_turn, head_turn, turning_back",,
evt_0012,sess_20260820_182850,S02,3,56.4,56.4,1410,1410,hand_chit_pinch,50.0,374.5,0.8,critical,Paper chit pinch gesture detected at S02 (Left index-thumb pinch),,
evt_0013,sess_20260820_182850,S02,3,56.44,56.44,1411,1411,hand_phone_grip,80.0,454.4,0.88,critical,"Handheld phone grip gesture detected at S02 (Left hand, flexed fingers + elevated thumb)",,
evt_0014,sess_20260820_182850,S02,3,56.48,56.48,1412,1412,hand_phone_grip,80.0,534.3,0.88,critical,"Handheld phone grip gesture detected at S02 (Left hand, flexed fingers + elevated thumb)",,
evt_0015,sess_20260820_182850,S02,3,56.52,56.52,1413,1413,hand_phone_grip,80.0,614.3,0.88,critical,"Handheld phone grip gesture detected at S02 (Left hand, flexed fingers + elevated thumb)",,
evt_0016,sess_20260820_182850,S02,3,56.56,56.56,1414,1414,hand_phone_grip,80.0,694.2,0.88,critical,"Handheld phone grip gesture detected at S02 (Left hand, flexed fingers + elevated thumb)",,
evt_0017,sess_20260820_182850,S02,3,56.6,56.6,1415,1415,hand_phone_grip,80.0,774.2,0.88,critical,"Handheld phone grip gesture detected at S02 (Left hand, flexed fingers + elevated thumb)",,
evt_0018,sess_20260820_182850,S02,3,56.64,56.64,1416,1416,hand_phone_grip,80.0,854.1,0.88,critical,"Handheld phone grip gesture detected at S02 (Left hand, flexed fingers + elevated thumb)",,
evt_0019,sess_20260820_182850,S02,3,56.68,56.68,1417,1417,hand_chit_pinch,50.0,904.0,0.8,critical,Paper chit pinch gesture detected at S02 (Left index-thumb pinch),,
evt_0020,sess_20260820_182850,S02,3,56.72,56.72,1418,1418,hand_phone_grip,80.0,984.0,0.88,critical,"Handheld phone grip gesture detected at S02 (Left hand, flexed fingers + elevated thumb)",,
evt_0021,sess_20260820_182850,S02,3,56.76,56.76,1419,1419,hand_phone_grip,80.0,1063.9,0.88,critical,"Handheld phone grip gesture detected at S02 (Left hand, flexed fingers + elevated thumb)",,
evt_0022,sess_20260820_182850,S02,3,56.8,56.8,1420,1420,hand_phone_grip,80.0,1143.9,0.88,critical,"Handheld phone grip gesture detected at S02 (Left hand, flexed fingers + elevated thumb)",,
evt_0023,sess_20260820_182850,S02,3,56.84,56.84,1421,1421,hand_phone_grip,80.0,1223.8,0.88,critical,"Handheld phone grip gesture detected at S02 (Left hand, flexed fingers + elevated thumb)",,
evt_0024,sess_20260820_182850,S02,3,56.88,56.88,1422,1422,hand_phone_grip,80.0,1303.7,0.88,critical,"Handheld phone grip gesture detected at S02 (Left hand, flexed fingers + elevated thumb)",,
evt_0025,sess_20260820_182850,S02,3,56.92,56.92,1423,1423,hand_phone_grip,80.0,1383.7,0.88,critical,"Handheld phone grip gesture detected at S02 (Left hand, flexed fingers + elevated thumb)",,
evt_0026,sess_20260820_182850,S02,3,56.96,56.96,1424,1424,hand_phone_grip,80.0,1463.6,0.88,critical,"Handheld phone grip gesture detected at S02 (Left hand, flexed fingers + elevated thumb)",,
evt_0027,sess_20260820_182850,S02,3,57.0,57.0,1425,1425,hand_phone_grip,80.0,1543.6,0.88,critical,"Handheld phone grip gesture detected at S02 (Left hand, flexed fingers + elevated thumb)",,
evt_0028,sess_20260820_182850,S02,3,57.04,57.04,1426,1426,hand_phone_grip,80.0,1623.5,0.88,critical,"Handheld phone grip gesture detected at S02 (Left hand, flexed fingers + elevated thumb)",,
evt_0029,sess_20260820_182850,S02,3,57.08,57.08,1427,1427,hand_phone_grip,80.0,1703.4,0.88,critical,"Handheld phone grip gesture detected at S02 (Left hand, flexed fingers + elevated thumb)",,
evt_0030,sess_20260820_182850,S02,3,57.12,57.12,1428,1428,hand_chit_pinch,50.0,1753.4,0.8,critical,Paper chit pinch gesture detected at S02 (Left index-thumb pinch),,
evt_0031,sess_20260820_182850,S02,3,57.16,57.16,1429,1429,hand_chit_pinch,50.0,1803.3,0.8,critical,Paper chit pinch gesture detected at S02 (Left index-thumb pinch),,
evt_0032,sess_20260820_182850,S02,3,57.2,57.2,1430,1430,hand_chit_pinch,50.0,1853.3,0.8,critical,Paper chit pinch gesture detected at S02 (Left index-thumb pinch),,
evt_0033,sess_20260820_182850,S02,3,57.24,57.24,1431,1431,hand_chit_pinch,50.0,1903.2,0.8,critical,Paper chit pinch gesture detected at S02 (Left index-thumb pinch),,
evt_0034,sess_20260820_182850,S02,3,57.28,57.28,1432,1432,hand_chit_pinch,50.0,1953.1,0.8,critical,Paper chit pinch gesture detected at S02 (Left index-thumb pinch),,
evt_0035,sess_20260820_182850,S02,3,57.32,57.32,1433,1433,hand_chit_pinch,50.0,2003.1,0.8,critical,Paper chit pinch gesture detected at S02 (Left index-thumb pinch),,
